# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
phnD	ER3413_4247	AIZ53918	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
phnF	ER3413_4244	AIZ53917	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
phnG	ER3413_4243	AIZ53916	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
phnH	ER3413_4242	AIZ53915	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
phnI	ER3413_4241	AIZ53914	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
phnJ	ER3413_4240	AIZ53913	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
phoP	ER3413_1160	AIZ50947	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
phoQ	ER3413_1159	AIZ50945	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
php	ER3413_3466	AIZ53169	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
plsB	ER3413_4175	AIZ53847	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
pntB	ER3413_1639	AIZ51395	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
poxB	ER3413_890	AIZ54720	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
prc	ER3413_1880	AIZ51643	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
proM	ER3413_3911	ER3413_3911-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
proQ	ER3413_1881	AIZ51644	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
purB	ER3413_1161	AIZ50948	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
puuA	ER3413_1321	AIZ51103	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
puuD	ER3413_1324	AIZ51104	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
puuP	ER3413_1320	AIZ51102	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
puuR	ER3413_1325	AIZ51105	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
pyrF	ER3413_1303	AIZ51085	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
quuD	ER3413_561	AIZ54398	protein_coding	0	0	0	13	0	0	13	0	0	0	0	0	0	0	0	0	0
radA	ER3413_4500	AIZ54163	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
raiA	ER3413_2679	AIZ52414	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rcnA	ER3413_2168	AIZ51915	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rcnB	ER3413_2169	AIZ51916	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rcnR	ER3413_2167	AIZ51914	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rcsA	ER3413_2003	AIZ51767	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
rdoA	ER3413_3972	AIZ53661	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ribA	ER3413_1298	AIZ51079	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0
rimM	ER3413_2689	AIZ52425	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rlmG	ER3413_3176	AIZ52878	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rluB	ER3413_1288	AIZ51068	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
rluE	ER3413_1165	AIZ50952	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rplS	ER3413_2687	AIZ52423	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rpsP	ER3413_2690	AIZ52426	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rrfA	ER3413_3968	ER3413_3968-1	rRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rrfD	ER3413_3360	ER3413_3360-1	rRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rrfF	ER3413_3358	ER3413_3358-1	rRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rrlA	ER3413_3967	ER3413_3967-1	rRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rrlD	ER3413_3361	ER3413_3361-1	rRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rrsA	ER3413_3962	ER3413_3962-1	rRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rsd	ER3413_4120	AIZ53800	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rspA	ER3413_1618	AIZ51372	protein_coding	0	2	13	16	0	0	16	0	0	13	0	0	0	0	0	2	0
rspB	ER3413_1617	AIZ51371	protein_coding	0	5	3	23	0	0	8	0	0	3	0	0	0	0	0	5	15
rsxA	ER3413_1664	AIZ51423	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rsxB	ER3413_1665	AIZ51424	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
rsxC	ER3413_1666	AIZ51425	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
rsxD	ER3413_1667	AIZ51426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rsxE	ER3413_1669	AIZ51428	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rsxG	ER3413_1668	AIZ51427	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
rusA	ER3413_559	AIZ54395	protein_coding	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	14
ryhB	ER3413_4667	ER3413_4667-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ryjA	ER3413_4673	ER3413_4673-1	lincRNA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
sapA	ER3413_1318	AIZ51099	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
sapB	ER3413_1317	AIZ51098	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sapC	ER3413_1316	AIZ51097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sapD	ER3413_1315	AIZ51096	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sapF	ER3413_1314	AIZ51095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sdhA	ER3413_738	AIZ54564	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0
sdhB	ER3413_739	AIZ54565	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0
sdhC	ER3413_736	AIZ54562	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0
sdhD	ER3413_737	AIZ54563	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0
selB	ER3413_3698	AIZ53397	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
serB	ER3413_4499	AIZ54160	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
sfmD	ER3413_541	AIZ54382	protein_coding	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0
sfmF	ER3413_543	AIZ54384	protein_coding	0	0	0	35	0	0	35	0	0	0	0	0	0	0	0	0	0
sfmH	ER3413_542	AIZ54383	protein_coding	0	0	0	21	0	0	21	0	0	0	0	0	0	0	0	0	0
sgcB	ER3413_4453	AIZ54119	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sgcC	ER3413_4452	AIZ54118	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sgcX	ER3413_4454	AIZ54120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
shiA	ER3413_2043	AIZ51799	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sohB	ER3413_1291	AIZ51072	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
sokX	ER3413_4692	ER3413_4692-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
soxR	ER3413_4200	AIZ53873	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
soxS	ER3413_4199	AIZ53870	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
speG	ER3413_1621	AIZ51376	protein_coding	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
sroH	ER3413_4688	ER3413_4688-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ssb	ER3413_4196	AIZ53867	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ssrS	ER3413_4634	ER3413_4634-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sucA	ER3413_740	AIZ54567	protein_coding	4	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0
sucB	ER3413_741	AIZ54568	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
sucC	ER3413_742	AIZ54569	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
sucD	ER3413_743	AIZ54570	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
thiC	ER3413_4119	AIZ53798	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
thiD	ER3413_2165	AIZ51912	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
thiE	ER3413_4118	AIZ53797	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
thiF	ER3413_4117	AIZ53796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
thiG	ER3413_4115	AIZ53794	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
thiH	ER3413_4114	AIZ53793	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
thiM	ER3413_2166	AIZ51913	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
thiS	ER3413_4116	AIZ53795	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
thrV	ER3413_3359	ER3413_3359-1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
topA	ER3413_1293	AIZ51074	protein_coding	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	1
tqsA	ER3413_1638	AIZ51394	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
trmD	ER3413_2688	AIZ52424	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
trpA	ER3413_1280	AIZ51060	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
trpB	ER3413_1281	AIZ51061	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
trpC	ER3413_1282	AIZ51062	protein_coding	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	3
trpD	ER3413_1283	AIZ51063	protein_coding	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	5
trpE	ER3413_1284	AIZ51064	protein_coding	0	1	2	3	0	0	1	0	0	2	0	0	0	0	0	1	2
trpL	ER3413_4584	AIZ54254	protein_coding	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0	0	2
tynA	ER3413_1414	AIZ51187	protein_coding	2	15	30	95	1	0	63	2	0	29	0	0	0	0	0	15	32
typA	ER3413_3989	AIZ53673	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
tyrA	ER3413_2681	AIZ52417	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ubiA	ER3413_4174	AIZ53846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ubiC	ER3413_4173	AIZ53845	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ubiF	ER3413_678	AIZ54514	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ubiH	ER3413_2995	AIZ52705	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ugpA	ER3413_3541	AIZ53245	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ugpB	ER3413_3542	AIZ53246	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ugpC	ER3413_3539	AIZ53242	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
ugpE	ER3413_3540	AIZ53244	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
ugpQ	ER3413_3537	AIZ53240	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
uhpB	ER3413_3781	AIZ53481	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
uhpC	ER3413_3780	AIZ53480	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
uhpT	ER3413_3779	AIZ53479	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
uvrA	ER3413_4195	AIZ53866	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
visC	ER3413_2994	AIZ52704	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
wecD	ER3413_3901	AIZ53597	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
wecE	ER3413_3902	AIZ53598	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
wecF	ER3413_3904	AIZ53600	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
wecG	ER3413_3906	AIZ53602	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
wzxE	ER3413_3903	AIZ53599	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
wzyE	ER3413_3905	AIZ53601	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
xylF	ER3413_3673	ER3413_3673	pseudogene	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
xylG	ER3413_3674	AIZ53372	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
xylH	ER3413_3675	AIZ53373	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
xylR	ER3413_3676	AIZ53374	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yaiL	ER3413_362	AIZ53321	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yaiO	ER3413_366	AIZ53359	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yaiP	ER3413_370	AIZ53400	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yaiS	ER3413_371	AIZ53406	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ybcH	ER3413_573	AIZ54408	protein_coding	0	0	0	39	0	0	39	0	0	0	0	0	0	0	0	0	0
ybcK	ER3413_554	AIZ54391	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
ybcL	ER3413_4579	AIZ54248	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
ybcM	ER3413_556	AIZ54392	protein_coding	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
ybcN	ER3413_557	AIZ54393	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
ybcO	ER3413_558	AIZ54394	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
ybcV	ER3413_4629	ER3413_4629	pseudogene	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	37
ybcW	ER3413_563	AIZ54400	protein_coding	0	0	0	49	0	0	49	0	0	0	0	0	0	0	0	0	0
ybjD	ER3413_896	AIZ54726	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ybjP	ER3413_884	AIZ54713	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ybjQ	ER3413_885	AIZ54714	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ybjS	ER3413_886	AIZ54715	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ybjT	ER3413_888	AIZ54717	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ybjX	ER3413_895	AIZ54725	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ycdX	ER3413_1057	AIZ50841	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycdY	ER3413_1058	AIZ50842	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycdZ	ER3413_1059	AIZ50843	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycfD	ER3413_1158	AIZ50944	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ycfJ	ER3413_1139	AIZ50924	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycfQ	ER3413_1140	AIZ50926	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ycfS	ER3413_1142	AIZ50928	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ycfT	ER3413_1144	AIZ50930	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycgX	ER3413_1167	AIZ50954	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yciE	ER3413_1277	AIZ51056	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yciF	ER3413_1278	AIZ51057	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yciG	ER3413_1279	AIZ51058	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yciK	ER3413_1290	AIZ51071	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
yciM	ER3413_1301	AIZ51084	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
yciN	ER3413_1292	AIZ51073	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yciO	ER3413_1286	AIZ51066	protein_coding	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	3
yciQ	ER3413_1287	AIZ51067	protein_coding	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	1	3
yciS	ER3413_1300	AIZ51083	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	8
yciV	ER3413_1285	AIZ51065	protein_coding	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	4
yciX	ER3413_1296	AIZ51077	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0
ycjO	ER3413_1337	AIZ51118	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycjP	ER3413_1338	AIZ51119	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycjQ	ER3413_1339	AIZ51120	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycjR	ER3413_1340	AIZ51122	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycjS	ER3413_1341	AIZ51123	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ycjT	ER3413_1342	AIZ51124	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ycjU	ER3413_1343	AIZ51125	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ycjW	ER3413_1347	AIZ51127	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ydbH	ER3413_1409	ER3413_1409	pseudogene	0	0	0	116	0	0	110	0	0	0	0	0	0	0	0	0	6
ydbJ	ER3413_1407	AIZ51180	protein_coding	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0
ydbK	ER3413_1405	AIZ51178	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
ydbL	ER3413_1411	AIZ51184	protein_coding	0	0	0	116	0	0	110	0	0	0	0	0	0	0	0	0	6
ydfA	ER3413_1608	AIZ51365	protein_coding	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0
ydfB	ER3413_1609	AIZ51366	protein_coding	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0
ydfC	ER3413_1610	AIZ51368	protein_coding	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0
ydfD	ER3413_1613	AIZ51370	protein_coding	0	0	0	31	0	0	31	0	0	0	0	0	0	0	0	0	0
ydgD	ER3413_1635	AIZ51391	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ydgJ	ER3413_1661	AIZ51420	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ydgK	ER3413_1663	AIZ51422	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ydgU	ER3413_4599	AIZ54270	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yebO	ER3413_1873	AIZ51637	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yebQ	ER3413_1877	AIZ51641	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yebS	ER3413_1883	AIZ51646	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yebT	ER3413_1884	AIZ51647	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yedP	ER3413_2007	AIZ51771	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
yedQ	ER3413_2006	AIZ51770	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
yeeJ	ER3413_2041	AIZ51798	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
yegT	ER3413_2160	AIZ51907	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yegU	ER3413_2161	AIZ51908	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yegV	ER3413_2163	AIZ51910	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yegW	ER3413_2162	AIZ51909	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yegX	ER3413_2164	AIZ51911	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
yehA	ER3413_2170	AIZ51918	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yehW	ER3413_2191	AIZ51936	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yehX	ER3413_2192	AIZ51937	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yehY	ER3413_2193	AIZ51938	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yfiB	ER3413_2686	AIZ52422	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yfiL	ER3413_2683	AIZ52419	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
yfiN	ER3413_2685	AIZ52421	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yfiR	ER3413_2684	AIZ52420	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ygbF	ER3413_2837	AIZ52554	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ygbT	ER3413_2838	AIZ52555	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ygcB	ER3413_2844	AIZ52561	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ygfB	ER3413_2997	AIZ52707	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ygjI	ER3413_3169	AIZ52871	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ygjJ	ER3413_3170	AIZ52873	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ygjK	ER3413_3171	AIZ52874	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
yhdV	ER3413_3352	AIZ53055	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhdX	ER3413_3355	AIZ53056	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yhdY	ER3413_3356	AIZ53057	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yhdZ	ER3413_3357	AIZ53058	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yhfS	ER3413_3463	AIZ53166	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhfT	ER3413_3464	AIZ53167	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhfU	ER3413_3465	AIZ53168	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhfW	ER3413_3467	AIZ53170	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhhA	ER3413_3538	AIZ53241	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
yhhW	ER3413_3528	AIZ53232	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yhhX	ER3413_3529	AIZ53233	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yhhY	ER3413_3530	AIZ53235	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhhZ	ER3413_3531	AIZ53236	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yhjR	ER3413_3634	AIZ53334	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yiaQ	ER3413_3688	AIZ53387	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yiaR	ER3413_3689	AIZ53388	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
